hw(rs1),HW
18,129
7,92
11,120
16,132
15,128
16,124
17,125
17,143
3,52
12,122
16,122
12,110
15,139
6,80
7,96
4,65
9,104
13,126
12,130
14,116
15,143
5,88
3,53
14,128
15,128
14,138
16,126
9,110
6,96
16,121
15,129
5,74
14,129
15,125
14,115
1,23
12,119
10,119
7,111
1,21
11,117
15,126
0,3
16,144
10,107
13,124
7,94
3,50
6,85
3,56
13,125
16,129
19,130
8,106
5,60
10,104
14,137
15,132
13,100
13,123
15,137
10,121
10,111
14,132
10,114
14,126
8,119
12,115
15,139
9,112
5,79
14,144
8,102
9,119
17,124
8,106
15,122
14,135
13,125
11,119
9,128
6,89
3,54
2,36
12,121
15,148
5,63
6,90
16,126
2,41
9,104
0,1
0,3
6,77
12,116
13,126
17,126
10,127
13,132
3,46
11,133
13,124
14,132
16,122
18,139
7,97
13,121
10,103
20,134
15,143
2,36
11,125
12,119
13,124
15,118
16,115
9,112
17,134
8,114
12,120
1,23
16,126
13,130
18,113
7,96
11,136
3,54
5,87
17,131
15,112
4,68
20,115
14,105
8,115
3,58
16,133
2,43
10,123
17,110
13,125
18,139
1,22
17,126
15,132
3,57
12,129
15,136
2,41
14,122
14,114
13,122
7,90
10,108
8,115
11,127
17,142
0,1
17,138
1,20
13,131
10,139
7,115
12,133
13,125
15,131
14,125
15,139
16,122
12,136
8,109
2,41
9,112
14,135
13,131
6,84
8,102
3,48
10,127
16,122
18,129
17,136
12,128
12,134
17,134
6,88
15,134
15,115
14,139
16,141
10,115
11,118
9,111
13,134
3,55
8,98
12,121
16,146
5,86
12,127
16,116
1,20
6,85
12,126
3,53
12,130
1,22
8,107
11,116
16,151
14,133
10,119
13,123
7,112
3,53
5,70
17,130
15,123
1,23
2,39
11,114
11,113
14,123
19,141
4,70
14,132
7,101
9,97
16,129
11,148
17,133
15,134
13,122
16,131
11,124
6,85
14,131
18,132
9,122
13,123
19,126
4,64
0,3
17,125
6,93
13,145
3,47
15,139
13,126
12,136
8,102
14,117
14,125
12,135
3,50
15,115
5,66
3,56
1,22
13,127
9,108
0,3
14,115
7,100
11,119
10,110
13,118
2,41
9,107
17,140
13,138
16,128
0,3
15,138
15,104
3,52
15,137
14,133
17,133
8,102
15,119
5,81
12,118
15,129
8,115
14,130
18,134
12,111
4,63
18,134
